English variant,Italian translation
I am a student,Io sono uno studente
I am here,Io sono qui
I am happy,Io sono felice
I am from London,Io sono di Londra
I am very tired,Io sono molto stanco
You are a friend,Tu sei un amico
You are late,Tu sei in ritardo
You are correct,Tu hai ragione
You are at home,Tu sei a casa
You are very kind,Tu sei molto gentile
He is a doctor,Lui è un dottore
She is an artist,Lei è un'artista
It is a book,Esso è un libro
Maria is intelligent,Maria è intelligente
The cat is small,Il gatto è piccolo
We are ready,Noi siamo pronti
We are Italian,Noi siamo italiani
We are at school,Noi siamo a scuola
We are colleagues,Noi siamo colleghi
We are tired,Noi siamo stanchi
You are (plural) teachers,Voi siete insegnanti
You are early,Voi siete in anticipo
You are brothers,Voi siete fratelli
You are at the park,Voi siete al parco
You are very nice,Voi siete molto simpatici
They are students,Loro sono studenti
They are my parents,Loro sono i miei genitori
They are French,Loro sono francesi
They are in the garden,Loro sono in giardino
The keys are on the table,Le chiavi sono sul tavolo
I am staying at the hotel,Io sto all'hotel
I am feeling better,Io sto meglio
I am remaining here,Io sto qui
I am standing still,Io sto fermo
I am staying home tonight,Io sto a casa stasera
You are staying calm,Tu stai calmo
You are staying with friends,Tu stai da amici
You are looking well,Tu stai bene
You are standing there,Tu stai lì
How are you feeling?,Come stai?
He is staying in Rome,Lui sta a Roma
She is staying silent,Lei sta zitta
John is staying for dinner,John sta a cena
The weather is improving,Il tempo sta migliorando
My sister is staying over,Mia sorella sta a dormire da noi
We are staying together,Noi stiamo insieme
We are staying for a week,Noi stiamo una settimana
We are standing here,Noi stiamo qui
We are feeling great,Noi stiamo benissimo
We are waiting,Noi stiamo aspettando
You are (plural) staying late,Voi state fino a tardi
You are staying seated,Voi state seduti
You are all staying?,Voi state tutti?
You are standing up,Voi state in piedi
You are staying to help,Voi state ad aiutare
They are staying at a villa,Loro stanno in una villa
They are staying friends,Loro stanno amici
They are standing in line,Loro stanno in coda
They are staying in touch,Loro stanno in contatto
The kids are staying quiet,I bambini stanno zitti
I have a car,Io ho una macchina
I have a question,Io ho una domanda
I have two sisters,Io ho due sorelle
I have an idea,Io ho un'idea
I have no time,Io non ho tempo
You have a dog,Tu hai un cane
You have my book,Tu hai il mio libro
You have blue eyes,Tu hai gli occhi azzurri
You have a chance,Tu hai una possibilità
You have to go,Tu devi andare
He has a new job,Lui ha un nuovo lavoro
She has a lot of patience,Lei ha molta pazienza
Mark has a headache,Mark ha mal di testa
The house has a garden,La casa ha un giardino
It has three wheels,Ha tre ruote
We have a problem,Noi abbiamo un problema
We have an appointment,Noi abbiamo un appuntamento
We have enough money,Noi abbiamo abbastanza soldi
We have to leave,Noi dobbiamo andare via
We have the tickets,Noi abbiamo i biglietti
You have (plural) the keys,Voi avete le chiavi
You have a big house,Voi avete una casa grande
You have the answer,Voi avete la risposta
You have my support,Voi avete il mio sostegno
You have to decide,Voi dovete decidere
They have a plan,Loro hanno un piano
They have three children,Loro hanno tre figli
They have no choice,Loro non hanno scelta
They have to study,Loro devono studiare
The rooms have windows,Le stanze hanno finestre
I go to work,Io vado al lavoro
I go to the market,Io vado al mercato
I go by bus,Io vado in autobus
I go running every morning,Io vado a correre ogni mattina
I go home now,Io vado a casa adesso
You go to school,Tu vai a scuola
You go to the cinema,Tu vai al cinema
You go on foot,Tu vai a piedi
You go shopping,Tu vai a fare shopping
You go first,Tu vai per primo
He goes to the gym,Lui va in palestra
She goes to university,Lei va all'università
My father goes fishing,Mio padre va a pescare
The train goes to Milan,Il treno va a Milano
This road goes north,Questa strada va a nord
We go on vacation,Noi andiamo in vacanza
We go to the beach,Noi andiamo alla spiaggia
We go together,Noi andiamo insieme
We go dancing,Noi andiamo a ballare
We go this way,Noi andiamo da questa parte
You go (plural) to church,Voi andate in chiesa
You go out tonight,Voi andate fuori stasera
You go by car,Voi andate in macchina
You go to the party,Voi andate alla festa
You go that way,Voi andate da quella parte
They go to the restaurant,Loro vanno al ristorante
They go for a walk,Loro vanno a fare una passeggiata
They go to bed early,Loro vanno a letto presto
They go abroad,Loro vanno all'estero
The boys go to play,I ragazzi vanno a giocare
I do my homework,Io faccio i compiti
I do the cooking,Io faccio da cucinare
I do my best,Io faccio del mio meglio
I do exercise,Io faccio esercizio
I do the dishes,Io faccio i piatti
You do the cleaning,Tu fai le pulizie
You do a great job,Tu fai un ottimo lavoro
You do something,Tu fai qualcosa
You do it quickly,Tu lo fai in fretta
You do the laundry,Tu fai il bucato
He does his duty,Lui fa il suo dovere
She does gymnastics,Lei fa ginnastica
The sun does good,Il sole fa bene
My brother does nothing,Mio fratello non fa niente
This machine does everything,Questa macchina fa tutto
We do the shopping,Noi facciamo la spesa
We do our work,Noi facciamo il nostro lavoro
We do it together,Noi lo facciamo insieme
We do yoga,Noi facciamo yoga
We do a project,Noi facciamo un progetto
You do (plural) the work,Voi fate il lavoro
You do many things,Voi fate molte cose
You do the right thing,Voi fate la cosa giusta
You do the driving,Voi fate da guidare
You do a lot,Voi fate molto
They do the same thing,Loro fanno la stessa cosa
They do business,Loro fanno affari
They do their homework,Loro fanno i compiti
They do a good deed,Loro fanno una buona azione
The children do crafts,I bambini fanno lavoretti